File,loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOComment,lOBlank,LOCodeAndCOmment,uniq_Op,Uniq_Opnd,total_Op,total_Opnd,branchCount,defects
runtime/gc_glue_java/CompactSchemeCheckMarkRoots.hpp,33,12,9,6,137,756.73,0.01,68.5,11.05,51835.87,0.46,2879.77,22,8,55,15,31,81,56,5,FALSE
runtime/gc_glue_java/ScavengerRootClearer.cpp,216,80,45,56,1273,9432.15,0,636.5,14.82,6003566.44,3,333531.47,36,29,252,30,140,822,451,52,TRUE
runtime/gc_glue_java/ScavengerBackOutScanner.hpp,78,26,20,16,292,1758.53,0.01,146,12.04,256745.58,1.35,14263.64,34,18,112,12,53,170,122,14,TRUE
runtime/gc_glue_java/ConcurrentMarkingDelegate.cpp,322,109,64,73,2118,16822.25,0,1059,15.89,17814758.22,3,989708.79,58,69,380,33,213,1382,736,63,TRUE
runtime/gc_glue_java/CompactDelegate.hpp,34,1,1,11,121,615.58,0.02,60.5,10.17,37242.77,0.37,2069.04,36,20,70,9,25,67,54,4,TRUE
runtime/gc_glue_java/GlobalCollectorDelegate.hpp,67,14,6,26,308,1894.12,0.01,154,12.3,291694.81,1.47,16205.27,36,18,103,12,59,177,131,14,FALSE
runtime/gc_glue_java/objectdescription.h,14,1,1,2,44,190.16,0.05,22,8.64,4183.63,0.09,232.42,24,5,38,7,13,18,26,3,FALSE
runtime/gc_glue_java/HeapWalkerDelegate.hpp,38,1,1,8,154,855.41,0.01,77,11.11,65866.31,0.54,3659.24,47,12,85,14,33,87,67,6,FALSE
runtime/gc_glue_java/CompactDelegate.cpp,101,57,47,29,611,4212.73,0,305.5,13.79,1286990.13,3,71499.45,31,17,132,28,91,402,209,22,TRUE
runtime/gc_glue_java/sizeclasses.h,24,1,1,4,190,1253.98,0.01,95,13.2,119128.43,0.81,6618.25,34,9,58,11,86,89,101,1,FALSE
runtime/gc_glue_java/ArrayletObjectModelBase.hpp,179,22,2,9,673,4672.31,0,336.5,13.89,1572233.08,3,87346.28,133,26,312,22,101,407,266,45,TRUE
runtime/gc_glue_java/ObjectIterator.hpp,134,72,67,11,576,3416.1,0,288,11.86,983838.16,3,54657.68,50,14,184,17,44,379,197,56,TRUE
runtime/gc_glue_java/ScavengerRootClearer.hpp,215,90,68,40,1032,7518.54,0,516,14.57,3879564.11,3,215531.34,49,32,264,20,136,634,398,30,FALSE
runtime/gc_glue_java/LanguageSegregatedAllocationCache.hpp,17,1,1,2,52,260,0.04,26,10,6760,0.12,375.56,21,7,38,14,18,28,24,1,FALSE
runtime/gc_glue_java/LanguageThreadLocalHeap.hpp,41,27,19,3,247,1348.48,0.01,123.5,10.92,166537.23,1.01,9252.07,21,9,62,15,29,167,80,16,FALSE
runtime/gc_glue_java/ObjectModel.hpp,373,122,96,32,1622,12467.5,0,811,15.37,10111145.63,3,561730.31,256,67,629,30,176,997,625,89,TRUE
runtime/gc_glue_java/CompactSchemeFixupRoots.hpp,70,24,18,16,282,1704.52,0.01,141,12.09,240337.2,1.29,13352.07,29,14,99,16,50,168,114,12,TRUE
runtime/gc_glue_java/CollectorLanguageInterfaceImpl.hpp,40,1,1,9,125,669.69,0.02,62.5,10.72,41855.88,0.4,2325.33,26,11,66,10,31,65,60,2,TRUE
runtime/gc_glue_java/ConcurrentSafepointCallbackJava.hpp,49,14,9,18,248,1458.9,0.01,124,11.77,180903.04,1.07,10050.17,28,15,77,14,45,139,109,6,FALSE
runtime/gc_glue_java/MetronomeDelegate.hpp,421,82,25,105,2644,21906.6,0,1322,16.57,28960529.78,3,1608918.32,105,74,526,36,276,1594,1050,112,FALSE
runtime/gc_glue_java/ConcurrentMarkingDelegate.hpp,221,49,30,32,841,5951.6,0,420.5,14.15,2502648.61,3,139036.03,111,38,332,22,113,514,327,55,TRUE
runtime/gc_glue_java/MixedObjectScanner.hpp,41,12,10,9,197,1100.24,0.01,98.5,11.17,108373.4,0.76,6020.74,47,11,88,15,33,109,88,5,TRUE
runtime/gc_glue_java/ReferenceObjectScanner.hpp,60,15,11,8,322,1932,0.01,161,12,311052,1.53,17280.67,81,17,141,18,46,183,139,22,FALSE
runtime/gc_glue_java/HeapRegionDescriptorStandardExtension.hpp,122,29,19,16,645,4029.91,0,322.5,12.5,1299647.02,3,72202.61,27,27,149,19,57,423,222,18,FALSE
runtime/gc_glue_java/UtilGlue.c,22,6,5,4,55,261.52,0.04,27.5,9.51,7191.77,0.12,399.54,25,3,47,11,16,37,18,2,TRUE
runtime/gc_glue_java/ConfigurationDelegate.hpp,308,80,41,49,1641,13024.02,0,820.5,15.87,10686210.75,3,593678.38,54,52,362,35,210,1038,603,79,TRUE
runtime/gc_glue_java/JNICriticalRegion.cpp,75,32,16,17,515,3156.58,0,257.5,12.26,812819.54,2.9,45156.64,43,16,118,19,51,324,191,24,TRUE
runtime/gc_glue_java/ArrayletObjectModelBase.cpp,86,11,1,11,385,2440.84,0.01,192.5,12.68,469862.13,2.01,26103.45,32,10,118,25,56,241,144,28,TRUE
runtime/gc_glue_java/MarkingSchemeRootClearer.hpp,49,1,1,26,271,1655.41,0.01,135.5,12.22,224308.07,1.23,12461.56,23,10,72,11,58,134,137,2,FALSE
runtime/gc_glue_java/HeadlessMixedObjectScanner.hpp,109,4,1,12,526,3202.01,0,263,12.17,842127.43,2.97,46784.86,51,17,160,23,45,317,209,28,TRUE
runtime/gc_glue_java/GlobalCollectorDelegate.cpp,353,94,54,72,1893,15269.11,0,946.5,16.13,14452209.62,3,802900.53,71,62,424,41,227,1182,711,75,FALSE
