File,loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOComment,lOBlank,LOCodeAndCOmment,uniq_Op,Uniq_Opnd,total_Op,total_Opnd,branchCount,defects
src/colmap/ui/reconstruction_manager_widget.cc,74,39,31,29,440,2773.66,0.00,220.00,12.61,610205.98,2.40,33900.33,28,16,102,24,55,300,140,12,true
src/colmap/ui/model_viewer_widget.cc,1107,552,490,183,7584,68105.38,0.00,3792.00,17.96,258255595.49,3.00,14347533.08,76,185,1183,38,467,4805,2779,147,true
src/colmap/ui/database_management_widget.h,119,1,1,24,545,3555.34,0.00,272.50,13.05,968830.49,3.00,53823.92,34,50,153,12,80,315,230,1,true
src/colmap/estimators/fundamental_matrix_test.cc,253,22,11,30,2058,15760.60,0.00,1029.00,15.32,16217656.61,3.00,900980.92,30,37,283,28,174,1250,808,26,true
src/colmap/estimators/similarity_transform.h,82,12,9,19,650,4230.07,0.00,325.00,13.02,1374771.62,3.00,76376.20,62,23,144,26,65,426,224,7,true
src/colmap/estimators/manifold.h,47,14,10,7,258,1484.76,0.01,129.00,11.51,191534.17,1.11,10640.79,28,9,75,21,33,153,105,6,false
src/colmap/estimators/triangulation.cc,143,48,33,30,1033,7071.39,0.00,516.50,13.69,3652373.57,3.00,202909.64,33,21,176,28,87,675,358,24,true
src/colmap/estimators/affine_transform_test.cc,78,15,11,20,569,3693.86,0.00,284.50,12.98,1050904.43,3.00,58383.58,32,22,110,25,65,352,217,14,true
src/colmap/estimators/homography_matrix.cc,81,20,14,24,819,5510.17,0.00,409.50,13.46,2256413.33,3.00,125356.30,32,20,113,27,79,515,304,9,true
src/colmap/estimators/cost_functions.h,409,42,37,49,2672,20287.05,0.00,1336.00,15.18,27103492.39,3.00,1505749.58,80,61,489,30,163,1597,1075,27,true
src/colmap/estimators/bundle_adjustment.h,129,1,1,49,707,5273.82,0.00,353.50,14.92,1864294.72,3.00,103571.93,66,47,195,18,158,408,299,13,true
src/colmap/estimators/bundle_adjustment.cc,925,441,341,130,5804,50735.47,0.00,2902.00,17.48,147234346.68,3.00,8179685.93,91,168,1016,38,390,3781,2023,182,true
src/colmap/estimators/similarity_transform_test.cc,144,39,33,31,1081,7287.53,0.00,540.50,13.48,3938907.70,3.00,218828.21,34,35,178,24,83,666,415,24,true
src/colmap/estimators/essential_matrix_test.cc,85,6,1,19,650,4260.48,0.00,325.00,13.11,1384656.89,3.00,76925.38,28,19,113,25,69,410,240,11,true
src/colmap/estimators/essential_matrix.cc,137,57,47,39,1536,10769.25,0.00,768.00,14.02,8270780.21,3.00,459487.79,38,33,175,32,97,964,572,14,true
src/colmap/estimators/absolute_pose.h,109,1,1,22,795,5223.04,0.00,397.50,13.14,2076156.50,3.00,115342.03,86,35,195,14,81,502,293,3,true
src/colmap/estimators/generalized_absolute_pose.h,32,1,1,4,132,733.21,0.02,66.00,11.11,48391.58,0.44,2688.42,42,14,74,13,34,79,53,2,true
src/colmap/estimators/generalized_absolute_pose.cc,64,31,23,25,588,3845.03,0.00,294.00,13.08,1130437.46,3.00,62802.08,30,11,94,26,67,391,197,16,true
src/colmap/estimators/alignment.h,50,1,1,9,196,1143.25,0.01,98.00,11.67,112038.15,0.77,6224.34,48,12,98,13,44,114,82,1,true
src/colmap/estimators/triangulation.h,75,1,1,12,372,2331.24,0.01,186.00,12.53,433611.49,1.91,24089.53,60,21,135,14,63,226,146,13,true
src/colmap/estimators/essential_matrix_coeffs.h,174,1,1,3,7271,42036.27,0.00,3635.50,11.56,152822846.78,3.00,8490158.15,28,2,202,12,43,4366,2905,0,true
src/colmap/estimators/fundamental_matrix.cc,121,126,121,35,1476,10247.15,0.00,738.00,13.89,7562397.74,3.00,420133.21,37,27,158,31,92,937,539,9,true
src/colmap/estimators/coordinate_frame_test.cc,125,54,51,45,1064,7506.82,0.00,532.00,14.11,3993628.51,3.00,221868.25,43,11,168,22,111,646,418,13,false
src/colmap/estimators/coordinate_frame.h,23,1,1,5,103,572.12,0.02,51.50,11.11,29464.32,0.32,1636.91,52,10,75,14,33,55,48,2,false
src/colmap/estimators/homography_matrix_test.cc,108,1,1,18,1001,6465.89,0.00,500.50,12.92,3236178.47,3.00,179787.69,31,29,139,21,67,622,379,27,true
src/colmap/estimators/covariance_test.cc,274,85,47,56,1957,14692.75,0.00,978.50,15.02,14376859.90,3.00,798714.44,30,45,304,33,149,1281,676,73,true
src/colmap/estimators/homography_matrix.h,20,1,1,3,101,522.16,0.02,50.50,10.34,26369.20,0.30,1464.96,49,10,69,13,23,64,37,2,true
src/colmap/estimators/utils_test.cc,44,8,6,14,375,2215.08,0.01,187.50,11.81,415328.25,1.86,23073.79,28,13,72,19,41,231,144,6,true
src/colmap/estimators/cost_functions_test.cc,374,17,17,26,3657,24799.43,0.00,1828.50,13.56,45345762.28,3.00,2519209.02,33,54,407,19,91,2259,1398,12,true
src/colmap/estimators/essential_matrix_poly.h,2082,1,1,2,85966,671167.07,0.00,42983.00,15.61,28848774308.63,3.00,1602709683.81,28,3,2110,15,209,51086,34880,2,true
src/colmap/estimators/two_view_geometry.cc,549,95,32,52,3752,29020.63,0.00,1876.00,15.47,54442702.81,3.00,3024594.60,47,91,596,35,178,2347,1405,95,true
src/colmap/estimators/euclidean_transform.h,6,1,1,1,18,70.32,0.11,9.00,7.81,632.92,0.02,35.16,39,5,45,7,8,9,9,0,true
src/colmap/estimators/translation_transform.h,55,1,1,8,398,2360.43,0.01,199.00,11.86,469726.26,2.01,26095.90,45,20,100,23,38,258,140,3,true
src/colmap/estimators/pose_test.cc,212,44,38,44,1736,12322.18,0.00,868.00,14.20,10695655.45,3.00,594203.08,28,30,240,23,114,1063,673,14,false
